prodName,prodId,sponsoredProduct,sellPrice,ListPrice,freeShip,AveRating,reviewCount,brandName,sellerName,pageNum,pageRank,prodURL
"Refurbished Acer Chromebook C720P-2625 11.6"" Touchscreen Celeron 1.4GHz 4GB RAM 16GB SSD (Scratches)",31509546,FALSE,$109.89 ,,Not Available,0,,Acer,Atomic Cellular,1,1,/ip/Refurbished-Acer-Chromebook-C720P-2625-11-6-Touchscreen-Celeron-1-4GHz-4GB-RAM-16GB-SSD-Scratches/731509546
Refurbished Apple MacBook Air MD711LL/B 11.6-Inch Laptop (NEWEST VERSION),41217325,FALSE,$368.94 ,,Available,3.2381,21,Apple,Always.Deals,1,2,/ip/Refurbished-Apple-MacBook-Air-MD711LL-B-11-6-Inch-Laptop-NEWEST-VERSION/841217325
"Lenovo ideapad 320 15.6"" Laptop, AMD A12-9720P Quad-Core Processor, 8GB RAM, 1TB Hard Drive, DVDRW, Windows 10 - Platinum Grey - 80XS00EJUS",91666061,TRUE,$299.00 ,$399.00 ,Not Available,3.7427,171,Lenovo,Walmart,1,3,/ip/Lenovo-ideapad-320-15-6-Laptop-AMD-A12-9720P-Quad-Core-Processor-8GB-RAM-1TB-Hard-Drive-DVDRW-Windows-10-Platinum-Grey-80XS00EJUS/891666061?wpa_bd=1549767487690&wpa_pg_seller_id=F55CDC31AB754BB68FE0B39041159D63&wpa_ref_id=0955fb09f428f0b198b1167806e093ed&wpa_aux_info=__aux_info__&wpa_tag=__tag__&wpa_pos=3&wpa_plmt=__plmt__&wpa_aduid=__aduid__
"Apple MacBook Air 13.3"" LCD Laptop Core i5 1.7GHz 4GB RAM 64GB SSD - Scratches & Dents",77639204,FALSE,$399.99 ,,Not Available,0,,Apple,Always.Deals,1,4,/ip/Apple-MacBook-Air-13-3-LCD-Laptop-Core-i5-1-7GHz-4GB-RAM-64GB-SSD-Scratches-Dents/377639204
"Lenovo ideapad 330 15.6"" Laptop, Intel Core i3-8130U Dual-Core Processor, 4GB RAM, 1TB Hard Drive, Windows 10 - Platinum Grey - 81DE00LAUS",45231441,TRUE,$299.00 ,$399.00 ,Not Available,3.1481,54,Lenovo,Walmart,1,5,/ip/Lenovo-ideapad-330-15-6-Laptop-Intel-Core-i3-8130U-Dual-Core-Processor-4GB-RAM-1TB-Hard-Drive-Windows-10-Platinum-Grey-81DE00LAUS/945231441?wpa_bd=1549767487690&wpa_pg_seller_id=F55CDC31AB754BB68FE0B39041159D63&wpa_ref_id=a8d632e149d0ddaf662a6dd1c5ce5edd&wpa_aux_info=__aux_info__&wpa_tag=__tag__&wpa_pos=5&wpa_plmt=__plmt__&wpa_aduid=__aduid__
"Apple 13.3"" MacBook Air 128GB SSD 8GB RAM Core i5 1.4 GHz (Custom Configuration) (Scratches & Dents)",8993012,FALSE,$519.99 ,"$1,199.99 ",Not Available,5,1,Apple,Always.Deals,1,6,/ip/Apple-13-3-MacBook-Air-128GB-SSD-8GB-RAM-Core-i5-1-4-GHz-Custom-Configuration-Scratches-Dents/808993012
"HP Pavilion 15 Laptop 15.6"" Touchscreen, Intel Core i5-8250U, Intel UHD Graphics 620, 1TB HDD + 16GB Intel Optane memory, 8GB SDRAM, 15-cs0051wm",22570741,FALSE,$699.00 ,,Available,4.0667,15,HP,Walmart,1,7,/ip/HP-Pavilion-15-Laptop-15-6-Touchscreen-Intel-Core-i5-8250U-Intel-UHD-Graphics-620-1TB-HDD-16GB-Intel-Optane-memory-8GB-SDRAM-15-cs0051wm/322570741
"HP Stream 14 Laptop 14"" , Intel Celeron N3060, Intel UHD Graphics 400, 32GB eMMC, 4GB SDRAM, Office 365 Personal- 1 YR, Smoke Gray, 14-cb012wm",65607808,FALSE,$199.00 ,,Not Available,2,4,HP,Walmart,1,8,/ip/HP-Stream-14-Laptop-14-Intel-Celeron-N3060-Intel-UHD-Graphics-400-32GB-eMMC-4GB-SDRAM-Office-365-Personal-1-YR-Smoke-Gray-14-cb012wm/465607808
"Lenovo ideapad 330s 15.6"" Laptop, Intel Core i5-8250U Quad-Core processor, 20GB (4GB + 16GB Intel Optane) Memory, 1TB Hard Drive, Windows 10 - Midnight Blue - 81F5006GUS",44500759,FALSE,$399.00 ,,Available,3.7,220,Lenovo,Walmart,1,9,/ip/Lenovo-ideapad-330s-15-6-Laptop-Intel-Core-i5-8250U-Quad-Core-processor-20GB-4GB-16GB-Intel-Optane-Memory-1TB-Hard-Drive-Windows-10-Midnight-Blue-81F/444500759
"Lenovo ideapad 330 15.6"" Laptop, Intel Celeron N4000 Dual-Core Processor, 4GB RAM, 1TB Hard Drive, DVDRW, Windows 10 - Platinum Grey - 81D1000CUS",39906155,FALSE,$239.99 ,$279.00 ,Not Available,3.7296,270,Lenovo,Walmart,1,11,/ip/Lenovo-ideapad-330-15-6-Laptop-Intel-Celeron-N4000-Dual-Core-Processor-4GB-RAM-1TB-Hard-Drive-DVDRW-Windows-10-Platinum-Grey-81D1000CUS/839906155
"EVOO 11.6"" Convertible Touchscreen Laptop, Windows 10, 32GB Storage, Mini HDMI, Webcam, Purple",99534420,FALSE,$169.00 ,$199.00 ,Available,2.7273,33,EVOO,Walmart,1,12,/ip/EVOO-11-6-Convertible-Touchscreen-Laptop-Windows-10-32GB-Storage-Mini-HDMI-Webcam-Purple/399534420
"Dell Inspiron 15 5000 (5575) Laptop, 15.6”, AMD Ryzen™ 5 2500U with Radeon™ Vega8 Graphics, 1TB HDD, 4GB RAM, i5575-A410BLU-PUS",12669685,FALSE,$399.00 ,$549.00 ,Available,3.4545,11,Dell,Walmart,1,13,/ip/Dell-Inspiron-15-5000-5575-Laptop-15-6-AMD-Ryzen-5-2500U-with-Radeon-Vega8-Graphics-1TB-HDD-4GB-RAM-i5575-A410BLU-PUS/212669685
"Refurbished HP 15-bs244wm 15.6"" Touchscreen Laptop, Pentium N5000 4GB RAM 500GB HDD Win 10 Scarlet Red",41227019,FALSE,$249.00 ,$349.00 ,Not Available,3.9231,13,HP,VIPOUTLET,1,14,/ip/Refurbished-HP-15-bs244wm-15-6-Touchscreen-Laptop-Pentium-N5000-4GB-RAM-500GB-HDD-Win-10-Scarlet-Red/941227019
"Dell Inspiron 15 5570 Laptop, 15.6"" HD, Intel Core i7-7500U, Intel UHD Graphics 620, 1 TB HDD, 20GB Total Memory (4GB DRAM + 16GB Intel Optane Memory), i5570-7987SLV-PUS",96108312,FALSE,$499.00 ,,Not Available,3.8669,18888,Dell,Walmart,1,15,/ip/Dell-Inspiron-15-5570-Laptop-15-6-HD-Intel-Core-i7-7500U-Intel-UHD-Graphics-620-1-TB-HDD-20GB-Total-Memory-4GB-DRAM-16GB-Intel-Optane-Memory-i5570-79/796108312
"Lenovo ideapad 330s 15.6"" Laptop, Windows 10, Intel Core i7-8550U Quad-Core processor, 4GB DDR4 RAM, 16GB Intel Optane Memory, 1TB Hard Drive, Platinum Grey",61848250,FALSE,$529.00 ,,Available,3.6154,13,Lenovo,Walmart,1,16,/ip/Lenovo-ideapad-330s-15-6-Laptop-Windows-10-Intel-Core-i7-8550U-Quad-Core-processor-4GB-DDR4-RAM-16GB-Intel-Optane-Memory-1TB-Hard-Drive-Platinum-Grey/961848250
"HP 15 Silver Fusion Laptop 15.6"" , Intel Core i3-8130U, Intel UHD Graphics 620, 1TB HDD + 16GB Intel Optane memory, 4GB SDRAM, DVD, 15-da0032wm",70503627,FALSE,$399.00 ,,Not Available,2.5526,38,HP,Walmart,1,17,/ip/HP-15-Silver-Fusion-Laptop-15-6-Intel-Core-i3-8130U-Intel-UHD-Graphics-620-1TB-HDD-16GB-Intel-Optane-memory-4GB-SDRAM-DVD-15-da0032wm/970503627
"Lenovo ideapad 330 15.6"" Laptop, Intel Core i3-8130U Dual-Core Processor, 4GB RAM, 1TB Hard Drive, Windows 10 - Plum Purple - 81DE00T1US",59491314,FALSE,$299.00 ,,Available,3.1481,54,Lenovo,Walmart,1,18,/ip/Lenovo-ideapad-330-15-6-Laptop-Intel-Core-i3-8130U-Dual-Core-Processor-4GB-RAM-1TB-Hard-Drive-Windows-10-Plum-Purple-81DE00T1US/359491314
"Refurbished HP 15-bs234wm 15.6"" Laptop Intel Pentium N5000 1.1GHz 4GB RAM 500GB HDD Windows 10",46219522,FALSE,$219.00 ,,Not Available,3.7778,9,HP,Walmart,1,19,/ip/Refurbished-HP-15-bs234wm-15-6-Laptop-Intel-Pentium-N5000-1-1GHz-4GB-RAM-500GB-HDD-Windows-10/746219522
"HP 15-bs212wm 15.6"" Laptop, Windows 10, Intel Celeron N4000 Processor, 4GB Memory, 500GB Hard Drive, DVD, Jet Black",39270579,FALSE,$289.00 ,,Not Available,3.1316,38,HP,El Chasqui USA Company,1,20,/ip/HP-15-bs212wm-15-6-Laptop-Windows-10-Intel-Celeron-N4000-Processor-4GB-Memory-500GB-Hard-Drive-DVD-Jet-Black/139270579
"HP 15 Laptop 15.6"" Touchscreen Laptop , Intel Pentium Silver N5000, 1TB HDD, 4GB SDRAM, Windows 10 - Jet Black - 15-bs289wm",64847541,FALSE,$285.00 ,,Not Available,3.7083,72,HP,El Chasqui USA Company,2,1,/ip/HP-15-Laptop-15-6-Touchscreen-Laptop-Intel-Pentium-Silver-N5000-1TB-HDD-4GB-SDRAM-Windows-10-Jet-Black-15-bs289wm/764847541
"HP Pavilion X360 Convertible Laptop 15.6"" FHD Touchscreen, Intel Core i3-8130U, 1TB HDD, 16GB Intel Optane memory, 4GB SDRAM, HP Digital Pen, Windows 10 - Natural Silver - 15-cr0037wm",49387323,FALSE,$499.00 ,,Not Available,4.7857,14,HP,Walmart,2,2,/ip/HP-Pavilion-X360-Convertible-Laptop-15-6-FHD-Touchscreen-Intel-Core-i3-8130U-1TB-HDD-16GB-Intel-Optane-memory-4GB-SDRAM-HP-Digital-Pen-Windows-10-Nat/349387323
